host_id,host_since,host_response_time,host_response_rate,host_is_superhost,host_has_profile_pic,host_identity_verified,market,latitude,longitude,is_location_exact,property_type,room_type,accommodates,bathrooms,bedrooms,beds,bed_type,price,security_deposit,cleaning_fee,guests_included,extra_people,minimum_nights,maximum_nights,number_of_reviews,last_review,review_scores_rating,review_scores_accuracy,review_scores_cleanliness,review_scores_checkin,review_scores_communication,review_scores_location,review_scores_value,instant_bookable,cancellation_policy,require_guest_profile_picture,require_guest_phone_verification,reviews_per_month
68997,2010-01-08,within an hour,1,t,t,t,Rio De Janeiro,-22.96592,-43.17896,t,Condominium,Entire home/apt,5,1,2,2,Real Bed,332,0,378,2,63,4,30,243,2019-11-11,93,9,10,10,10,10,9,t,strict_14_with_grace_period,f,f,2.13
102840,2010-04-03,within a day,0.91,f,t,t,Rio De Janeiro,-22.97712,-43.19045,t,Apartment,Entire home/apt,2,1,1,2,Real Bed,160,1000,250,2,45,7,60,235,2019-10-08,94,9,10,9,10,10,9,f,strict_14_with_grace_period,t,t,2.04
153691,2010-06-27,within an hour,1,t,t,t,Rio De Janeiro,-22.98127,-43.19046,t,Loft,Entire home/apt,2,1,1,1,Real Bed,130,400,140,2,80,3,28,316,2019-11-16,98,10,10,10,10,10,10,f,strict_14_with_grace_period,f,t,2.84
221941,2010-09-02,within a day,0.5,t,t,f,Rio De Janeiro,-22.98359,-43.19382,t,Apartment,Private room,1,1,1,1,Real Bed,80,0,0,1,0,3,30,42,2019-08-08,98,10,10,10,10,10,10,t,strict_14_with_grace_period,f,f,1.68
222884,2010-09-03,within an hour,1,f,t,t,Rio De Janeiro,-22.96467,-43.17442,t,Apartment,Entire home/apt,10,3.5,4,4,Real Bed,848,600,199,8,69,2,750,3,2018-10-04,80,9,8,9,9,9,6,t,strict_14_with_grace_period,f,f,0.06
224192,2010-09-05,within an hour,0.95,f,t,t,Rio De Janeiro,-22.97934,-43.19113,t,Apartment,Entire home/apt,3,1,1,2,Real Bed,189,420,210,2,21,3,90,78,2019-11-03,93,9,9,10,10,10,9,t,moderate,f,f,0.92
238091,2010-09-18,within an hour,1,t,t,t,Rio De Janeiro,-22.98108,-43.19078,t,Apartment,Entire home/apt,2,1,0,2,Real Bed,134,400,135,2,75,3,1125,168,2019-11-17,95,10,10,10,10,10,9,t,strict_14_with_grace_period,f,f,1.89
328096,2010-12-27,within an hour,1,t,t,f,Rio De Janeiro,-22.98282,-43.19571,f,Apartment,Entire home/apt,2,1,0,1,Real Bed,151,0,50,2,0,3,89,186,2019-11-16,98,10,10,10,10,10,10,t,strict_14_with_grace_period,f,f,1.76
339264,2011-01-08,within an hour,1,f,t,t,Rio De Janeiro,-22.98498,-43.19135,t,Apartment,Private room,2,1,1,1,Real Bed,122,630,63,1,42,4,365,79,2017-11-22,93,10,9,10,10,10,9,f,strict_14_with_grace_period,f,f,0.74
384673,2011-02-09,within a few hours,1,f,t,t,Rio De Janeiro,-22.98027,-43.19255,t,Apartment,Entire home/apt,4,1,1,1,Real Bed,130,1679,210,2,84,3,365,138,2019-09-30,87,9,9,10,10,9,9,f,strict_14_with_grace_period,f,f,1.3
241334,2010-09-21,within an hour,1,f,t,f,Rio De Janeiro,-22.98152,-43.19018,t,Apartment,Entire home/apt,4,1,1,0,Real Bed,109,0,200,2,50,7,1125,26,2019-10-31,93,10,10,10,10,9,9,t,strict_14_with_grace_period,f,f,0.39
401375,2011-02-20,within an hour,1,t,t,f,Rio De Janeiro,-22.98238,-43.19366,t,Condominium,Entire home/apt,4,1,2,2,Real Bed,306,420,150,4,420,5,180,95,2019-11-10,96,10,10,10,10,10,10,t,strict_14_with_grace_period,f,f,0.9
406651,2011-02-23,within an hour,1,f,t,f,Rio De Janeiro,-22.98119,-43.19373,f,Apartment,Entire home/apt,12,4,4,8,Real Bed,420,2324,418,6,70,2,365,121,2019-10-28,87,9,9,10,10,9,8,t,strict_14_with_grace_period,f,f,1.2
408504,2011-02-24,a few days or more,0,f,t,f,Rio De Janeiro,-22.97678,-43.19208,f,Apartment,Private room,2,1.5,1,1,Real Bed,202,420,150,1,200,2,6,5,2014-12-08,80,8,8,10,9,10,9,f,moderate,f,f,0.05
441418,2011-03-14,within a day,0.69,f,t,f,Rio De Janeiro,-22.96925,-43.18283,t,Apartment,Entire home/apt,5,2,2,3,Real Bed,273,0,168,1,0,3,60,20,2017-02-19,93,10,8,10,10,10,9,f,strict_14_with_grace_period,f,f,0.23
474221,2011-03-31,within an hour,0.9,f,t,f,Rio De Janeiro,-22.977,-43.19041,t,Apartment,Entire home/apt,4,1,1,1,Real Bed,147,450,150,4,20,2,89,60,2019-08-19,92,10,10,10,9,10,9,t,moderate,f,f,0.61
474221,2011-03-31,within an hour,0.9,f,t,f,Rio De Janeiro,-22.9755,-43.18865,f,Apartment,Entire home/apt,3,1,1,3,Real Bed,126,450,150,3,20,2,90,40,2019-10-21,93,9,10,10,9,10,9,t,moderate,f,f,0.48
474221,2011-03-31,within an hour,0.9,f,t,f,Rio De Janeiro,-22.97566,-43.1885,f,Apartment,Entire home/apt,4,1,1,4,Real Bed,189,450,150,4,30,2,90,38,2019-10-13,94,9,10,10,10,10,9,t,moderate,f,f,0.45
484054,2011-04-04,within a few hours,1,f,t,f,Rio De Janeiro,-22.97839,-43.19108,t,Apartment,Entire home/apt,4,1,1,1,Real Bed,626,0,63,4,20,2,730,1,2019-11-17,100,10,10,10,10,10,10,f,moderate,f,f,1
506187,2011-04-13,within an hour,1,f,t,t,Rio De Janeiro,-22.97049,-43.18923,t,Apartment,Private room,2,1,1,2,Real Bed,130,420,20,1,20,1,730,6,2019-01-03,100,10,10,10,10,10,10,f,strict_14_with_grace_period,f,f,0.13
521514,2011-04-19,within an hour,1,f,t,f,Rio De Janeiro,-22.98322,-43.19087,t,Apartment,Entire home/apt,4,1,1,2,Real Bed,189,420,147,2,0,3,60,131,2019-11-04,92,10,9,10,10,10,9,t,strict_14_with_grace_period,f,f,1.27
624433,2011-05-25,within a few hours,1,f,t,t,Rio De Janeiro,-22.97,-43.18823,t,Apartment,Entire home/apt,2,1,0,1,Pull-out Sofa,227,418,46,1,0,2,31,81,2019-10-06,100,10,10,10,10,10,10,t,strict_14_with_grace_period,f,f,0.79
641519,2011-05-30,within an hour,1,f,t,t,Rio De Janeiro,-22.97541,-43.18877,t,Apartment,Entire home/apt,4,1,0,2,Real Bed,210,370,100,1,0,3,720,4,2019-02-16,100,10,10,10,10,10,10,t,strict_14_with_grace_period,f,f,0.22
642497,2011-05-30,within a few hours,1,f,t,t,Rio De Janeiro,-22.96995,-43.18879,t,Condominium,Entire home/apt,4,2,2,2,Real Bed,441,6000,200,2,0,2,270,11,2019-10-06,95,10,10,9,10,10,9,f,strict_14_with_grace_period,f,f,0.13
692868,2011-06-12,within a few hours,0.99,f,t,f,Rio De Janeiro,-22.9822,-43.1896,t,Apartment,Entire home/apt,4,2,1,2,Real Bed,130,239,100,1,0,2,365,84,2019-11-12,89,9,9,10,10,10,9,t,strict_14_with_grace_period,f,f,0.82
792218,2011-07-07,within an hour,1,f,t,t,Rio De Janeiro,-22.97937,-43.19157,t,Apartment,Entire home/apt,4,1,0,2,Real Bed,126,560,140,2,50,2,180,73,2019-10-06,92,10,9,10,10,10,9,f,strict_14_with_grace_period,t,t,0.73
454863,2011-03-21,within a day,1,f,t,f,Rio De Janeiro,-22.98249,-43.19222,t,Apartment,Private room,2,1,1,2,Real Bed,185,0,0,2,93,3,15,10,2017-08-16,91,9,9,10,10,10,9,f,moderate,t,t,0.15
795470,2011-07-08,within a day,1,f,t,f,Rio De Janeiro,-22.96656,-43.18575,t,Apartment,Entire home/apt,4,1,0,3,Pull-out Sofa,168,500,100,1,100,3,180,1,2019-11-06,80,10,10,10,10,10,8,f,strict_14_with_grace_period,f,f,1
792218,2011-07-07,within an hour,1,f,t,t,Rio De Janeiro,-22.97702,-43.18867,t,Apartment,Entire home/apt,4,1,0,1,Real Bed,130,600,150,2,40,2,180,59,2019-09-29,95,10,9,10,10,10,9,f,strict_14_with_grace_period,t,t,0.6
792218,2011-07-07,within an hour,1,f,t,t,Rio De Janeiro,-22.97165,-43.18843,t,Apartment,Entire home/apt,4,1,0,1,Real Bed,126,600,140,2,50,2,180,90,2019-07-09,93,9,9,10,10,10,9,f,strict_14_with_grace_period,t,t,0.91
792218,2011-07-07,within an hour,1,f,t,t,Rio De Janeiro,-22.98019,-43.19339,t,Apartment,Entire home/apt,4,1,1,1,Real Bed,109,500,130,2,45,2,150,75,2019-11-18,86,9,9,10,10,9,8,f,strict_14_with_grace_period,t,t,0.75
829630,2011-07-17,within a few hours,1,t,t,t,Rio De Janeiro,-22.9626,-43.17704,t,Apartment,Entire home/apt,2,1,1,1,Real Bed,101,480,160,1,0,1,28,70,2019-11-17,96,10,10,10,10,10,10,f,strict_14_with_grace_period,f,t,0.73
259815,2010-10-12,within an hour,1,t,t,t,Rio De Janeiro,-22.97964,-43.1921,t,Apartment,Entire home/apt,5,1.5,2,2,Real Bed,483,2099,567,2,42,3,180,179,2019-11-18,99,10,10,10,10,10,10,t,moderate,f,t,1.78
842466,2011-07-20,within an hour,1,t,t,t,Rio De Janeiro,-22.98499,-43.19098,t,Condominium,Entire home/apt,8,2,3,3,Real Bed,697,2789,465,6,279,3,30,138,2019-10-15,97,10,10,10,10,10,10,f,strict_14_with_grace_period,f,t,1.4
856145,2011-07-23,within an hour,1,t,t,f,Rio De Janeiro,-22.97985,-43.19189,t,Apartment,Private room,2,1,1,1,Real Bed,243,1788,223,1,29,3,90,98,2019-10-07,97,10,10,10,10,10,10,f,strict_14_with_grace_period,f,f,0.97
856145,2011-07-23,within an hour,1,t,t,f,Rio De Janeiro,-22.97816,-43.191,t,Apartment,Entire home/apt,3,1,1,1,Real Bed,512,1730,214,1,25,3,90,77,2019-10-06,96,10,10,10,10,10,10,f,moderate,f,f,0.76
873070,2011-07-26,within a few hours,1,t,t,t,Rio De Janeiro,-22.96725,-43.18169,t,Apartment,Private room,2,1,1,1,Real Bed,130,800,120,1,40,1,30,71,2019-10-07,97,10,10,10,10,10,10,t,strict_14_with_grace_period,t,t,0.71
955720,2011-08-11,within a few hours,1,f,t,f,Rio De Janeiro,-22.98297,-43.19388,t,Apartment,Entire home/apt,5,1,1,3,Real Bed,181,350,120,2,30,2,45,75,2019-10-06,95,9,10,10,10,10,9,f,strict_14_with_grace_period,f,f,0.75
529105,2011-04-23,within an hour,1,t,t,t,Rio De Janeiro,-22.96536,-43.17979,t,Apartment,Entire home/apt,2,1,1,1,Real Bed,210,490,150,2,0,3,89,192,2019-11-17,96,10,9,10,10,10,10,f,strict_14_with_grace_period,t,t,1.92
1030316,2011-08-28,within an hour,1,f,t,t,Rio De Janeiro,-22.98506,-43.1908,t,Apartment,Private room,6,2,3,4,Real Bed,2183,420,231,1,0,2,15,3,2019-10-03,100,10,10,10,10,8,10,f,moderate,f,f,0.03
1030316,2011-08-28,within an hour,1,f,t,t,Rio De Janeiro,-22.9854,-43.19105,t,Apartment,Private room,2,2.5,1,1,Real Bed,306,420,231,1,0,2,15,29,2019-11-17,99,10,10,10,10,10,10,f,moderate,f,f,0.29
1030316,2011-08-28,within an hour,1,f,t,t,Rio De Janeiro,-22.98645,-43.18894,t,Apartment,Private room,2,1,1,1,Real Bed,210,420,231,1,0,2,15,27,2019-11-20,98,10,10,10,10,10,10,f,moderate,f,f,0.28
1030316,2011-08-28,within an hour,1,f,t,t,Rio De Janeiro,-22.9868,-43.19098,t,Apartment,Private room,2,1,1,2,Real Bed,168,420,231,1,0,2,15,30,2019-11-17,97,10,10,10,10,10,10,f,strict_14_with_grace_period,f,f,0.31
132230,2010-05-25,within an hour,1,t,t,t,Rio De Janeiro,-22.97961,-43.19166,t,Condominium,Entire home/apt,4,2.5,2,3,Real Bed,248,0,168,2,42,7,365,24,2019-10-05,92,10,10,10,10,8,9,f,strict_14_with_grace_period,t,t,0.25
1241662,2011-10-03,N/A,0.892333129,f,t,t,Rio De Janeiro,-22.96321,-43.17544,t,Apartment,Entire home/apt,5,1,1,4,Real Bed,151,500,80,2,21,5,14,15,2019-07-01,93,10,9,10,10,10,9,t,strict_14_with_grace_period,f,f,0.22
792218,2011-07-07,within an hour,1,f,t,t,Rio De Janeiro,-22.96486,-43.17595,t,Apartment,Entire home/apt,4,1,1,1,Real Bed,147,900,150,2,50,2,180,74,2019-09-25,93,10,9,10,10,10,9,f,strict_14_with_grace_period,t,t,0.76
1256423,2011-10-06,within a few hours,1,f,t,t,Rio De Janeiro,-22.97541,-43.18898,t,Apartment,Private room,2,1,1,2,Real Bed,134,400,100,1,80,3,30,12,2018-01-01,100,10,10,10,10,10,10,f,strict_14_with_grace_period,t,t,0.17
1289982,2011-10-14,within an hour,1,f,t,f,Rio De Janeiro,-22.96817,-43.17987,t,Apartment,Entire home/apt,4,1,1,1,Real Bed,231,420,120,1,0,3,760,13,2019-03-08,97,10,10,10,10,10,10,f,strict_14_with_grace_period,f,f,0.14
804664,2011-07-11,within an hour,1,f,t,t,Rio De Janeiro,-22.98091,-43.19152,t,Condominium,Entire home/apt,4,1.5,2,2,Real Bed,348,1500,220,4,200,2,90,114,2019-11-17,96,10,10,10,10,10,10,f,strict_14_with_grace_period,f,f,1.16
1306210,2011-10-18,within a day,0.5,f,t,t,Rio De Janeiro,-22.97561,-43.18791,t,Apartment,Entire home/apt,4,2.5,2,2,Real Bed,525,4198,105,1,0,1,365,77,2019-10-01,96,10,9,10,9,10,9,f,moderate,f,f,0.79
1309444,2011-10-18,within an hour,1,f,t,t,Rio De Janeiro,-22.96911,-43.18836,t,Apartment,Private room,3,1,1,1,Real Bed,101,0,0,2,45,2,10,124,2019-10-09,97,10,10,10,10,10,10,t,strict_14_with_grace_period,f,f,1.32
1321287,2011-10-21,within a day,1,t,t,t,Rio De Janeiro,-22.97725,-43.19039,t,Apartment,Entire home/apt,4,1,1,4,Real Bed,176,350,110,2,25,4,1125,79,2019-03-06,97,10,10,10,10,9,10,f,strict_14_with_grace_period,f,f,0.81
132230,2010-05-25,within an hour,1,t,t,t,Rio De Janeiro,-22.98105,-43.19265,t,Condominium,Entire home/apt,10,3,4,5,Real Bed,357,840,252,1,42,7,365,44,2019-10-13,93,10,9,10,10,10,9,f,strict_14_with_grace_period,t,t,0.46
617333,2011-05-23,within a few hours,0.9,f,t,f,Rio De Janeiro,-22.97254,-43.18939,t,Apartment,Entire home/apt,4,1,2,3,Real Bed,802,800,200,1,0,5,87,1,2014-03-07,100,8,10,8,10,10,8,f,strict_14_with_grace_period,f,t,0.01
1425387,2011-11-20,within an hour,1,t,t,t,Rio De Janeiro,-22.96413,-43.17436,t,Apartment,Entire home/apt,4,1,1,1,Real Bed,130,420,135,2,28,2,29,191,2019-11-17,98,10,10,10,10,10,10,t,moderate,f,f,1.97
1426830,2011-11-20,within a few hours,1,f,t,f,Rio De Janeiro,-22.96717,-43.18776,f,Apartment,Private room,2,1,1,1,Pull-out Sofa,223,0,42,3,63,2,760,17,2019-11-18,100,10,10,10,10,10,10,t,strict_14_with_grace_period,f,f,0.26
449677,2011-03-18,within a few hours,1,f,t,t,Rio De Janeiro,-22.98142,-43.1922,t,Apartment,Entire home/apt,2,1,0,0,Real Bed,164,340,150,1,0,3,90,13,2015-08-26,98,9,10,10,10,9,10,f,strict_14_with_grace_period,t,t,0.13
1408960,2011-11-15,within an hour,1,f,t,f,Rio De Janeiro,-22.98401,-43.19378,f,Apartment,Entire home/apt,10,2,1,3,Futon,252,1000,180,1,50,2,10,5,2019-10-07,64,6,9,8,7,7,7,f,strict_14_with_grace_period,f,f,0.07
1243921,2011-10-03,N/A,0.892333129,f,t,f,Rio De Janeiro,-22.96207,-43.17469,t,Apartment,Entire home/apt,4,1,1,2,Real Bed,206,840,378,2,147,5,365,45,2019-10-10,89,8,9,10,9,9,8,t,strict_14_with_grace_period,f,f,0.47
1381764,2011-11-07,within an hour,1,f,t,t,Rio De Janeiro,-22.96215,-43.1744,t,Apartment,Entire home/apt,4,1,1,1,Real Bed,340,800,140,2,60,2,89,105,2019-10-02,93,9,9,10,10,10,9,t,super_strict_30,t,f,1.09
1429181,2011-11-21,within an hour,1,f,t,t,Rio De Janeiro,-22.96557,-43.17723,t,Apartment,Private room,4,0,1,2,Real Bed,189,420,150,4,0,1,90,31,2019-11-18,91,10,9,10,10,10,9,f,strict_14_with_grace_period,f,f,0.33
1429181,2011-11-21,within an hour,1,f,t,t,Rio De Janeiro,-22.96286,-43.17575,t,Apartment,Entire home/apt,2,1,1,1,Real Bed,101,0,0,2,20,1,90,116,2019-10-06,93,10,9,10,10,10,9,f,moderate,f,f,1.25
1429181,2011-11-21,within an hour,1,f,t,t,Rio De Janeiro,-22.96737,-43.17806,t,Apartment,Private room,3,1,1,0,Real Bed,109,420,150,3,0,2,90,18,2019-10-08,98,10,10,10,10,10,9,f,moderate,f,f,0.19
1491818,2011-12-10,N/A,0.892333129,f,t,t,Rio De Janeiro,-22.96657,-43.19192,t,Apartment,Entire home/apt,5,2,2,4,Real Bed,449,0,100,1,0,3,1125,2,2018-01-02,100,10,10,10,10,10,10,f,strict_14_with_grace_period,f,f,0.05
1500426,2011-12-13,within an hour,1,t,t,f,Rio De Janeiro,-22.98482,-43.19077,t,Apartment,Entire home/apt,5,1,1,1,Real Bed,168,0,150,3,35,4,90,22,2019-10-28,85,10,9,9,9,9,8,t,strict_14_with_grace_period,t,t,0.23
449677,2011-03-18,within a few hours,1,f,t,t,Rio De Janeiro,-22.97955,-43.19169,t,Apartment,Entire home/apt,4,1,0,0,Real Bed,172,340,150,2,70,3,90,22,2019-01-11,100,10,10,10,10,9,10,f,strict_14_with_grace_period,t,t,0.23
1511425,2011-12-16,N/A,0.892333129,f,t,t,Rio De Janeiro,-22.9646,-43.19059,t,Apartment,Entire home/apt,4,1,0,1,Real Bed,1469,4198,197,2,1255,4,5,16,2018-02-20,93,10,9,10,10,9,9,f,strict_14_with_grace_period,t,t,0.17
1309444,2011-10-18,within an hour,1,f,t,t,Rio De Janeiro,-22.96959,-43.18886,t,Apartment,Private room,3,1,1,2,Real Bed,252,0,0,2,130,4,30,42,2018-01-01,99,10,10,10,10,10,9,t,strict_14_with_grace_period,f,f,0.45
1540501,2011-12-27,within a few hours,1,f,t,f,Rio De Janeiro,-22.97985,-43.19135,t,Apartment,Entire home/apt,5,1.5,2,2,Real Bed,185,1008,252,4,25,5,90,130,2019-10-16,90,9,9,10,10,10,9,f,strict_14_with_grace_period,f,f,1.36
1557071,2012-01-02,N/A,0.892333129,f,t,t,Rio De Janeiro,-22.9841,-43.19269,t,Apartment,Entire home/apt,3,1,1,2,Real Bed,63,0,100,2,50,3,30,44,2018-02-26,95,9,9,10,10,10,10,t,strict_14_with_grace_period,f,t,0.46
